well,field,value
49-019-27753,Surfer,10
49-019-27754,Surfer,10
49-019-27755,Surfer,10
49-019-27756,Surfer,10
49-019-27757,Surfer,10
49-019-27758,Surfer,10
49-019-27759,Bruin,10
49-019-27760,Bruin,10
49-019-27761,Bruin,10
49-019-27764,Pine Ridge,10
49-019-27789,The Chair,10
49-019-27791,The Chair,10
49-019-27793,The Chair,10
49-019-27795,The Chair,10
49-019-27797,The Chair,10
49-019-27798,The Chair,10
49-019-27817,The Chair,10
49-019-27820,The Chair,10
49-019-27833,Citation,10
49-019-27841,The Chair,10
49-019-27842,The Chair,10
49-019-27843,The Chair,10
49-019-27844,The Chair,10
49-019-27845,The Chair,10
49-019-27848,The Chair,10
49-019-27849,The Chair,10
49-019-27850,The Chair,10
49-019-27851,The Chair,10
49-019-27852,The Chair,10
49-019-27853,The Chair,10
49-019-27854,The Chair,10
49-019-27855,The Chair,10
49-019-27856,The Chair,10
49-019-27857,The Chair,10
49-019-27860,The Chair,10
49-019-27861,The Chair,10
49-019-27862,The Chair,10
49-019-27939,Citation,10
49-019-27941,Crow,10
49-019-27943,Royal,10
49-019-27944,Royal,10
49-019-27947,Wormwood,10
49-019-27948,Bert,10
49-019-27950,Bert,10
49-019-27952,Bert,10
49-019-27968,Kessler,10
49-019-27970,Lucifer,10
49-019-27988,Coal Gulch,10
49-019-27989,Coal Gulch,10
49-019-27990,Bruin,10
49-019-27991,Bruin,10
49-019-27992,Coal Gulch,10
49-019-27993,Bruin,10
49-019-27994,Glasair,10
49-019-28006,Irvine,10
49-019-28009,Bruin,10
49-019-28010,Bruin,10
49-019-28011,Bruin,10
49-019-28012,Bruin,10
49-019-28020,The Chair,10
49-019-28021,The Chair,10
49-019-28025,The Chair,10
49-019-28034,Crow,10
49-019-28036,Nile/Congo,10
49-019-28037,Pebble Beach,10
49-019-28038,Gary,10
49-019-28039,Dewars,10
49-019-28040,Dewars,10
49-019-28041,Deer Gulch,10
49-019-28064,Deer Gulch,10
49-019-28073,Dewars,10
49-019-28074,Dewars,10
49-019-28082,West Pine Tree,10
49-019-28083,West Pine Tree,10
49-019-28088,Nile/Congo,10
49-019-28091,Nile/Congo,10
49-019-28093,Nile/Congo,10
49-019-28094,Nile/Congo,10
49-019-28095,Nile/Congo,10
49-019-28098,Nile/Congo,10
49-019-28099,Nile/Congo,10
49-019-28100,Nile/Congo,10
49-019-28101,Nile/Congo,10
49-019-28102,Nile/Congo,10
49-019-28103,Nile/Congo,10
49-019-28104,Nile/Congo,10
49-019-28105,Nile/Congo,10
49-019-28106,Nile/Congo,10
49-019-28107,Nile/Congo,10
49-019-28108,Nile/Congo,10
49-019-28109,Nile/Congo,10
49-019-28110,errill eadows,10
49-019-28111,errill eadows,10
49-019-28112,errill eadows,10
49-019-28114,Nile/Congo,10
49-019-28148,Irvine,10
49-019-28150,Irvine,10
49-019-28151,Irvine,10
49-019-28153,idnight,10
49-019-28189,Citation,10
49-019-28190,Citation,10
49-019-28191,Citation,10
49-019-28260,Perla,10
49-019-28261,Perla,10
49-019-28274,Juniper Draw,10
49-019-28276,Juniper Draw,10
49-019-28277,Juniper Draw,10
49-019-28278,Juniper Draw,10
49-019-28287,Juniper Draw,10
49-019-28297,Coach,10
49-019-28299,Coach,10
49-019-28300,Coach,10
49-019-28301,Coach,10
49-019-28302,Coach,10
49-019-28303,Coach,10
49-019-28304,Coach,10
49-019-28305,Coach,10
49-019-28306,Coach,10
49-019-28307,Coach,10
49-019-28308,Coach,10
49-019-28309,Coach,10
49-019-28310,Coach,10
49-019-28311,Coach,10
49-019-28325,Bert,10
49-019-28330,Citation,10
49-019-28340,Juniper Draw,10
49-019-28342,Juniper Draw,10
49-019-28346,Juniper Draw,10
49-019-28348,Juniper Draw,10
49-019-28350,Citation,10
49-019-28351,Citation,10
49-019-28352,Citation,10
49-019-28353,Citation,10
49-019-28354,Citation,10
49-019-28362,Irvine,10
49-019-28364,Pine Ridge,10
49-019-28367,Coach,10
49-019-28368,Coach,10
49-019-28369,Coach,10
49-019-28371,Coach,10
49-019-28372,Coach,10
49-019-28373,Coach,10
49-019-28374,Coach,10
49-019-28375,Coach,10
49-019-28376,Coach,10
49-019-28377,Coach,10
49-019-28378,Coach,10
49-019-28381,Deer Gulch,10
49-019-28382,Deer Gulch,10
49-019-28383,Deer Gulch,10
49-019-28384,Deer Gulch,10
49-019-28385,Citation,10
49-019-28386,Citation,10
49-019-28387,Citation,10
49-019-28388,Citation,10
49-019-28389,Citation,10
49-019-28390,Citation,10
49-019-28399,The Chair,10
49-019-28402,Coach,10
49-019-28403,Coach,10
49-019-28410,Deer Gulch,10
49-019-28411,Deer Gulch,10
49-019-28412,Deer Gulch,10
49-019-28413,Big Cat,10
49-019-28416,Dry Fork,10
49-019-28417,Bruin,10
49-019-28418,Bruin,10
49-019-28445,Gulfstream,10
49-019-28447,Gulfstream,10
49-019-28448,Gulfstream,10
49-019-28450,Gulfstream,10
49-019-28451,Gulfstream,10
49-019-28453,Gulfstream,10
49-019-28454,Gulfstream,10
49-019-28455,Bruin,10
49-019-28456,Astra,10
49-019-28457,Gulfstream,10
49-019-28458,Big Cat,10
49-019-28461,Big Cat,10
49-019-28463,Deer Gulch,10
49-019-28468,Big Cat,10
49-019-28469,Big Cat,10
49-019-28477,Bruin,10
49-019-28479,Bruin,10
49-019-28480,Bruin,10
49-019-28483,Astra,10
49-019-28484,Astra,10
49-019-28485,Irvine,10
49-019-28486,Astra,10
49-019-28487,Astra,10
49-019-28488,Gulfstream,10
49-019-28490,Gulfstream,10
49-019-28491,Gulfstream,10
49-019-28492,Royal,10
49-019-28493,Coach,10
49-019-28494,Coach,10
49-019-28495,Gulfstream,10
49-019-28496,Gulfstream,10
49-019-28497,Coach,10
49-019-28498,Coach,10
49-019-28499,Coach,10
49-019-28500,Coach,10
49-019-28501,Coach,10
49-019-28502,Gulfstream,10
49-019-28503,Gulfstream,10
49-019-28504,Gulfstream,10
49-019-28505,Astra,10
49-019-28506,Astra,10
49-019-28507,Astra,10
49-019-28508,Gulfstream,10
49-019-28509,Gulfstream,10
49-019-28510,Bruin,10
49-019-28519,Pebble Beach,10
49-019-28520,Pebble Beach,10
49-019-28552,Pebble Beach,10
49-019-28554,Pebble Beach,10
49-019-28555,Pebble Beach,10
49-019-28561,Pebble Beach,10
49-019-28563,Pebble Beach,10
49-019-28564,Pebble Beach,10
49-019-28565,Pebble Beach,10
49-019-28566,Austin,10
49-019-28567,Pebble Beach,10
49-019-28569,Pebble Beach,10
49-019-28572,West Pine Tree,10
49-019-28573,West Pine Tree,10
49-019-28574,West Pine Tree,10
49-019-28575,West Pine Tree,10
49-019-28576,West Pine Tree,10
49-019-28577,Astra,10
49-019-28578,Bridge Draw,10
49-019-28579,Bridge Draw,10
49-019-28580,Bridge Draw,10
49-019-28581,Bridge Draw,10
49-019-28582,Cessna,10
49-019-28583,Bridge Draw,10
49-019-28584,Bridge Draw,10
49-019-28585,Bridge Draw,10
49-019-28586,Bridge Draw,10
49-019-28587,Gulfstream,10
49-019-28588,Gulfstream,10
49-019-28589,Gulfstream,10
49-019-28590,Bridge Draw,10
49-019-28591,Bridge Draw,10
49-019-28592,Astra,10
49-019-28593,Bridge Draw,10
49-019-28594,Gulfstream,10
49-019-28595,Astra,10
49-019-28596,Astra,10
49-019-28597,Gulfstream,10
49-019-28598,Astra,10
49-019-28599,Bridge Draw,10
49-019-28600,Glasair,10
49-019-28601,Glasair,10
49-019-28602,Bridge Draw,10
49-019-28603,Bridge Draw,10
49-019-28604,Astra,10
49-019-28605,Bridge Draw,10
49-019-28606,Astra,10
49-019-28607,Bridge Draw,10
49-019-28608,Astra,10
49-019-28609,Bruin,10
49-019-28611,Bruin,10
49-019-28614,Bruin,10
49-019-28642,Bruin,10
49-019-28644,Bruin,10
49-019-28646,Astra,10
49-019-28647,Astra,10
49-019-28648,Astra,10
49-019-28649,Bridge Draw,10
49-019-28650,Astra,10
49-019-28651,Bridge Draw,10
49-019-28652,Gulfstream,10
49-019-28653,Gulfstream,10
49-019-28654,Gulfstream,10
49-019-28665,Austin,10
49-019-28667,Dry Fork,10
49-019-28668,Austin,10
49-019-28669,Austin,10
49-019-28670,Austin,10
49-019-28671,Austin,10
49-019-28672,Austin,10
49-019-28673,Austin,10
49-019-28674,Austin,10
49-019-28675,Austin,10
49-019-28676,Austin,10
49-019-28677,Austin,10
49-019-28678,Austin,10
49-019-28679,Austin,10
49-019-28680,Austin,10
49-019-28681,Austin,10
49-019-28709,Austin,10
49-019-28710,Austin,10
49-019-28711,Austin,10
49-019-28713,Austin,10
49-019-28714,Austin,10
49-019-28715,Austin,10
49-019-28716,Austin,10
49-019-28717,Citation,10
49-019-28718,Dry Willow,10
49-019-28719,Dry Willow,10
49-019-28720,Dry Willow,10
49-019-28721,Dry Willow,10
49-019-28730,Bruin,10
49-019-28731,errill eadows,10
49-019-28732,Astra,10
49-019-28758,Little Bear HP,10
49-019-28764,Glasair,10
49-019-28765,Glasair,10
49-019-28766,Pebble Beach,10
49-019-28767,Pebble Beach,10
49-019-28768,Pebble Beach,10
49-019-28769,Pebble Beach,10
49-019-28771,Pebble Beach,10
49-019-28772,Pebble Beach,10
49-019-28773,Glasair,10
49-019-28774,Pebble Beach,10
49-019-28804,The Chair,10
49-019-28810,Dry Fork,10
49-019-28811,Bruin,10
49-019-28814,The Chair,10
49-019-28831,Pebble Beach,10
49-019-28834,Pebble Beach,10
49-019-28836,Pebble Beach,10
49-019-28839,Pebble Beach,10
49-019-28841,Pebble Beach,10
49-019-28843,Pebble Beach,10
49-019-28845,Pebble Beach,10
49-019-28847,Pebble Beach,10
49-019-28849,Pebble Beach,10
49-019-28851,Pebble Beach,10
49-019-28853,Pebble Beach,10
49-019-28855,Pebble Beach,10
49-019-28856,Pebble Beach,10
49-019-28859,Pebble Beach,10
49-019-28860,Pebble Beach,10
49-019-28868,Pebble Beach,10
49-019-28869,Pebble Beach,10
49-019-28870,Pebble Beach,10
49-019-28871,Pebble Beach,10
49-019-28872,Pebble Beach,10
49-019-28873,Pebble Beach,10
49-019-28874,Pebble Beach,10
49-019-28875,Pebble Beach,10
49-019-28876,Astra,10
49-019-28877,Glasair,10
49-019-28878,Glasair,10
49-019-28879,Pebble Beach,10
49-019-28884,Pebble Beach,10
49-019-28886,Pebble Beach,10
49-019-28888,Pebble Beach,10
49-019-28889,Pebble Beach,10
49-019-28893,Pebble Beach,10
49-019-28894,Pebble Beach,10
49-019-28896,Pebble Beach,10
49-019-28905,Dewars,10
49-019-28906,Dewars,10
49-019-28907,Dewars,10
49-019-28909,Royal,10
49-019-28912,Kessler,10
49-019-28913,Dewars,10
49-019-28914,Royal,10
49-019-28915,Crow,10
49-019-28918,The Chair,10
49-019-28919,Pebble Beach,10
49-019-28921,Glasair,10
49-019-28922,Glasair,10
49-019-28923,Nichols,10
49-019-28927,Nichols,10
49-019-28929,Nichols,10
49-019-28931,Nichols,10
49-019-28932,Nichols,10
49-019-28934,Nichols,10
49-019-28935,Nichols,10
49-019-28936,Nichols,10
49-019-28937,Nichols,10
49-019-28939,Nichols,10
49-019-28940,Nichols,10
49-019-28942,Glasair,10
49-019-28943,Glasair,10
49-019-28944,Glasair,10
49-019-28945,Nichols,10
49-019-28946,Nichols,10
49-019-28947,Glasair,10
49-019-28948,Glasair,10
49-019-28949,errill eadows,10
49-019-28950,Nichols,10
49-019-28951,Glasair,10
49-019-28952,Nichols,10
49-019-28953,Nichols,10
49-019-28954,Nichols,10
49-019-28955,Nichols,10
49-019-28956,Nichols,10
49-019-28957,Nichols,10
49-019-28958,Glasair,10
49-019-28959,Glasair,10
49-019-28960,Glasair,10
49-019-28961,Glasair,10
49-019-28963,Glasair,10
49-019-28964,Glasair,10
49-019-28966,Nichols,10
49-019-28973,Glasair,10
49-019-28974,Glasair,10
49-019-28975,Glasair,10
49-019-28977,Glasair,10
49-019-28978,Pebble Beach,10
49-019-28979,Pebble Beach,10
49-019-28982,Pebble Beach,10
49-019-28983,Pebble Beach,10
49-019-28985,errill eadows,10
49-019-28986,errill eadows,10
49-019-28987,Glasair,10
49-019-28996,Glasair,10
49-019-28997,Irvine,10
49-019-28998,Irvine,10
49-019-28999,Irvine,10
49-019-29000,Irvine,10
49-019-29002,errill eadows,10
49-019-29003,Nichols,10
49-019-29004,errill eadows,10
49-019-29007,Irvine,10
49-019-29008,Irvine,10
49-019-29009,Irvine,10
49-019-29013,Royal,10
49-019-29014,Royal,10
49-019-29015,Royal,10
49-019-29016,Royal,10
49-019-29017,Royal,10
49-019-29018,Royal,10
49-019-29019,Royal,10
49-019-29021,Royal,10
49-019-29022,Royal,10
49-019-29023,Royal,10
49-019-29024,Royal,10
49-019-29025,Royal,10
49-019-29026,Royal,10
49-019-29027,Royal,10
49-019-29028,Royal,10
49-019-29029,Royal,10
49-019-29030,Royal,10
49-019-29031,Royal,10
49-019-29032,Royal,10
49-019-29033,Royal,10
49-019-29034,Royal,10
49-019-29035,Royal,10
49-019-29036,Royal,10
49-019-29037,Royal,10
49-019-29038,Royal,10
49-019-29039,Royal,10
49-019-29040,Royal,10
49-019-29041,Royal,10
49-019-29042,Royal,10
49-019-29057,Pebble Beach,10
49-019-29061,Pebble Beach,10
49-019-29062,Pebble Beach,10
49-019-29063,Pebble Beach,10
49-019-29066,Pebble Beach,10
49-019-29068,Pebble Beach,10
49-019-29071,Pebble Beach,10
49-019-29072,Royal,10
49-019-29073,Royal,10
49-019-29074,Royal,10
49-019-29075,Royal,10
49-019-29076,Royal,10
49-019-29077,Royal,10
49-019-29078,Royal,10
49-019-29079,Royal,10
49-019-29080,Royal,10
49-019-29083,Glasair,10
49-019-29086,Glasair,10
49-019-29087,Glasair,10
49-019-29088,Glasair,10
49-019-29089,Crenshaw Hill,10
49-019-29090,Crenshaw Hill,10
49-019-29094,Glasair,10
49-019-29096,Glasair,10
49-019-29098,Pebble Beach,10
49-019-29100,Pebble Beach,10
49-019-29101,Pebble Beach,10
49-019-29102,Pebble Beach,10
49-019-29103,Pebble Beach,10
49-019-29106,Pebble Beach,10
49-019-29108,Glasair,10
49-019-29109,Glasair,10
49-019-29110,Glasair,10
49-019-29111,Citation,10
49-019-29113,Citation,10
49-019-29114,Citation,10
49-019-29115,Citation,10
49-019-29116,Citation,10
49-019-29117,Citation,10
49-019-29118,Pebble Beach,10
49-019-29120,Citation,10
49-019-29121,Cessna,10
49-019-29122,Cessna,10
49-019-29123,Citation,10
49-019-29124,Citation,10
49-019-29125,Pebble Beach,10
49-019-29126,Glasair,10
49-019-29127,Glasair,10
49-019-29128,Glasair,10
49-019-29129,Glasair,10
49-019-29131,Glasair,10
49-019-29132,Glasair,10
49-019-29133,Crenshaw Hill,10
49-019-29135,Glasair,10
49-019-29136,Crenshaw Hill,10
49-019-29137,Glasair,10
49-019-29139,Glasair,10
49-019-29140,Glasair,10
49-019-29141,Pebble Beach,10
49-019-29142,Glasair,10
49-019-29146,Glasair,10
49-019-29147,Pebble Beach,10
49-019-29148,Citation,10
49-019-29149,Pebble Beach,10
49-019-29150,Glasair,10
49-019-29151,Pebble Beach,10
49-019-29152,Pebble Beach,10
49-019-29153,Pebble Beach,10
49-019-29154,Pebble Beach,10
49-019-29155,Nichols,10
49-019-29156,Nichols,10
49-019-29157,Nichols,10
49-019-29158,Crenshaw Hill,10
49-019-29159,Nichols,10
49-019-29163,Bruin,10
49-019-29164,Bruin,10
49-019-29165,Bruin,10
49-019-29166,Bruin,10
49-019-29167,Bruin,10
49-019-29178,Little Bear HP,10
49-019-29179,Little Bear HP,10
49-019-29181,Little Bear HP,10
49-019-29182,Little Bear HP,10
49-019-29183,Little Bear HP,10
49-019-29184,Bruin,10
49-019-29185,Bruin,10
49-019-29186,Bruin,10
49-019-29187,Bruin,10
49-019-29188,Bruin,10
49-019-29189,Bruin,10
49-019-29191,Bruin,10
49-019-29192,Bruin,10
49-019-29197,Bruin,10
49-019-29200,Bruin,10
49-019-29201,Bruin,10
49-019-29203,Bruin,10
49-019-29204,Bruin,10
49-019-29205,Bruin,10
49-019-29206,Bruin,10
49-019-29207,Bruin,10
49-019-29208,Bruin,10
49-019-29209,Bruin,10
49-019-29210,Bruin,10
49-019-29221,Little Bear HP,10
49-019-29222,Little Bear HP,10
49-019-29223,Little Bear HP,10
49-019-29224,Little Bear HP,10
49-019-29225,Little Bear HP,10
49-019-29226,Little Bear HP,10
49-019-29227,Little Bear HP,10
49-019-29228,Little Bear HP,10
49-019-29229,Little Bear HP,10
49-019-29230,Little Bear HP,10
49-019-29231,Little Bear HP,10
49-019-29239,Little Bear HP,10
49-019-29240,Little Bear HP,10
49-019-29241,Little Bear HP,10
49-019-29259,Little Bear HP,10
49-019-29260,Little Bear HP,10
49-019-29261,Little Bear HP,10
49-019-29262,Little Bear HP,10
49-019-29263,Bruin,10
49-019-29264,Little Bear HP,10
49-019-29265,Little Bear HP,10
49-019-29266,Little Bear HP,10
49-019-29267,Little Bear HP,10
49-019-29268,Little Bear HP,10
49-019-29269,Little Bear HP,10
49-019-29272,Little Bear HP,10
49-019-29314,Citation,10
49-019-29315,Citation,10
49-019-29316,Citation,10
49-019-29317,Citation,10
49-019-29321,Citation,10
49-019-29322,Citation,10
49-019-29323,Cessna,10
49-019-29327,Citation,10
49-019-29340,Citation,10
49-019-29346,Citation,10
49-019-29350,Citation,10
49-019-29351,Citation,10
49-019-29352,Citation,10
49-019-29353,Citation,10
49-019-29354,Citation,10
49-019-29355,Citation,10
49-019-29356,Citation,10
49-019-29359,Citation,10
49-019-29360,Citation,10
49-019-29361,Citation,10
49-019-29362,Citation,10
49-019-29365,Citation,10
49-019-29366,Citation,10
49-019-29368,Cessna,10
49-019-29369,Cessna,10
49-019-29374,Coal Gulch,10
49-019-29375,Coal Gulch,10
49-019-29376,Coal Gulch,10
49-019-29377,Coal Gulch,10
49-019-29378,Bruin,10
49-019-29379,Coal Gulch,10
49-019-29380,Coal Gulch,10
49-019-29381,Coal Gulch,10
49-019-29382,Coal Gulch,10
49-019-29383,Coal Gulch,10
49-019-29384,Bridge Draw,10
49-019-29385,Bridge Draw,10
49-019-29388,Bridge Draw,10
49-019-29389,Bridge Draw,10
49-019-29390,Bridge Draw,10
49-019-29436,Pebble Beach,10
49-019-29437,Pebble Beach,10
49-019-29438,Pebble Beach,10
49-019-29439,Pebble Beach,10
49-019-29440,Pebble Beach,10
49-019-29441,Pebble Beach,10
49-019-29442,Pebble Beach,10
49-019-29443,Pebble Beach,10
49-019-29444,Citation,10
49-019-29454,Coal Gulch,10
49-019-29455,Deer Gulch,10
49-019-29456,Astra,10
49-019-29458,Deer Gulch,10
49-019-29459,Deer Gulch,10
49-019-29460,Deer Gulch,10
49-019-29461,Deer Gulch,10
49-019-29462,Coal Gulch,10
49-019-29464,Deer Gulch,10
49-019-29465,Coal Gulch,10
49-019-29466,Deer Gulch,10
49-019-29468,Deer Gulch,10
49-019-29469,Deer Gulch,10
49-019-29470,Coal Gulch,10
49-019-29471,Astra,10
49-019-29472,Coal Gulch,10
49-019-29473,Coal Gulch,10
49-019-29474,Coal Gulch,10
49-019-29475,Coal Gulch,10
49-019-29476,Coal Gulch,10
49-019-29477,Coal Gulch,10
49-019-29478,Coal Gulch,10
49-019-29479,Coal Gulch,10
49-019-29481,Coal Gulch,10
49-019-29486,Coal Gulch,10
49-019-29487,Coal Gulch,10
49-019-29488,Coal Gulch,10
49-019-29489,Coal Gulch,10
49-019-29490,Coal Gulch,10
49-019-29491,Deer Gulch,10
49-019-29492,Bruin,10
49-019-29493,Bruin,10
49-019-29494,Bruin,10
49-019-29495,Deer Gulch,10
49-019-29496,Deer Gulch,10
49-019-29497,Deer Gulch,10
49-019-29498,Coal Gulch,10
49-019-29499,Coal Gulch,10
49-019-29500,Coal Gulch,10
49-019-29501,Coal Gulch,10
49-019-29502,Coal Gulch,10
49-019-29503,Coal Gulch,10
49-019-29505,Deer Gulch,10
49-019-29506,Deer Gulch,10
49-019-29507,Deer Gulch,10
49-019-29508,Deer Gulch,10
49-019-29509,Deer Gulch,10
49-019-29510,Deer Gulch,10
49-019-29511,Deer Gulch,10
49-019-29512,Deer Gulch,10
49-019-29514,Coal Gulch,10
49-019-29515,Coal Gulch,10
49-019-29516,Coal Gulch,10
49-019-29517,Coal Gulch,10
49-019-29518,Coal Gulch,10
49-019-29519,Coal Gulch,10
49-019-29520,Coal Gulch,10
49-019-29521,Coal Gulch,10
49-019-29522,Coal Gulch,10
49-019-29523,Coal Gulch,10
49-019-29524,Coal Gulch,10
49-019-29525,Coal Gulch,10
49-019-29526,Bridge Draw,10
49-019-29527,Bridge Draw,10
49-019-29528,Bridge Draw,10
49-019-29529,Bridge Draw,10
49-019-29530,Astra,10
49-019-29531,Astra,10
49-019-29532,Astra,10
49-019-29533,Astra,10
49-019-29534,Astra,10
49-019-29535,Astra,10
49-019-29536,Astra,10
49-019-29537,Astra,10
49-019-29538,Astra,10
49-019-29539,Astra,10
49-019-29540,Astra,10
49-019-29541,Astra,10
49-019-29542,Astra,10
49-019-29543,Astra,10
49-019-29544,Astra,10
49-019-29545,Astra,10
49-019-29546,Astra,10
49-019-29547,Astra,10
49-019-29548,Bridge Draw,10
49-019-29549,Bridge Draw,10
49-019-29550,Bridge Draw,10
49-019-29551,Deer Gulch,10
49-019-29552,Deer Gulch,10
49-019-29553,Deer Gulch,10
49-019-29554,Deer Gulch,10
49-019-29555,Deer Gulch,10
49-019-29556,Deer Gulch,10
49-019-29557,Deer Gulch,10
49-019-29558,Deer Gulch,10
49-019-29559,Deer Gulch,10
49-019-29560,Astra,10
49-019-29562,Astra,10
49-019-29564,Coal Gulch,10
49-019-29565,Astra,10
49-019-29566,Bridge Draw,10
49-019-29568,Deer Gulch,10
49-019-29570,Astra,10
49-019-29571,Deer Gulch,10
49-019-29572,Deer Gulch,10
49-019-29573,Deer Gulch,10
49-019-29574,Deer Gulch,10
49-019-29575,Deer Gulch,10
49-019-29576,Deer Gulch,10
49-019-29577,Deer Gulch,10
49-019-29583,Deer Gulch,10
49-019-29591,The Chair,10
49-019-29606,Pebble Beach,10
49-019-29616,Citation,10
49-019-29617,Citation,10
49-019-29628,Citation,10
49-019-29629,Citation,10
49-019-29632,Citation,10
49-019-29633,Citation,10
49-019-29663,Little Bear HP,10
49-019-29664,Little Bear HP,10
49-019-29665,Little Bear HP,10
49-019-29666,Little Bear HP,10
49-019-29667,Little Bear HP,10
49-019-29668,Little Bear HP,10
49-019-29679,Little Bear HP,10
49-019-29681,Deer Gulch,10
49-019-29704,Irvine,10
49-019-29705,Irvine,10
49-019-29706,Irvine,10
49-019-29707,Irvine,10
49-019-29708,Irvine,10
49-019-29709,Irvine,10
49-019-29728,Irvine,10
49-019-29729,Irvine,10
49-019-29730,Irvine,10
49-019-29755,Big Cat,10
49-019-29756,Gulfstream,10
49-019-29758,Pebble Beach,10
49-019-29759,Pebble Beach,10
49-019-29761,Pebble Beach,10
49-019-29763,Citation,10
49-019-29765,Pebble Beach,10
49-019-29766,Pebble Beach,10
49-019-29768,Pebble Beach,10
49-019-29976,Pebble Beach,10
49-033-25684,Croton,10
49-033-25685,Croton,10
49-033-25784,Croton,10
49-033-25785,Croton,10
49-033-25786,Croton,10
49-033-25789,Croton,10
49-033-25796,Croton,10
Gas Draw,Horse Creek,10
Gas Draw,Horse Creek,10
Gas Draw,Horse Creek,10
Gas Draw,Horse Creek,10
Gas Draw,Horse Creek,10
Gas Draw,Horse Creek,10
Gas Draw,Horse Creek,10
Gas Draw,Horse Creek,10
Surfer,alibu,10
Opossum,Baker Springs,10
West Pine Tree,West Pine Tree 2024,10
West Pine Tree,West Pine Tree 2024,10
Oneok House Creek #24,Oneok House Creek Booster,10
Gas Draw,Horse Creek,10
Gas Draw,Horse Creek,10
Gas Draw,Horse Creek,10
Gas Draw,Horse Creek,10
Gas Draw,Horse Creek,10
Gas Draw,Horse Creek,10
Gas Draw,Horse Creek,10
Gas Draw,Horse Creek,10
Gas Draw,Horse Creek,10
Gas Draw,Horse Creek,10
Gas Draw,Horse Creek,10
Sycamore,ontgomery,10
Sycamore,ontgomery,10
Sycamore,ontgomery,10
Sycamore,ontgomery,10
Sycamore,ontgomery,10
Sycamore,ontgomery,10
Sycamore,ontgomery,10
Dry Willow,Dry Willow,10
Dry Willow,Dry Willow,10
Dry Willow,Dry Willow,10
Dry Willow,Dry Willow,10
Dry Willow,Dry Willow,10
Dry Willow,Dry Willow,10
Dry Willow,Dry Willow,10
Dry Willow,Dry Willow,10
Gas Draw,Horse Creek,10
Surfer,alibu,10
Surfer,alibu,10
Turbine,Echeta,10
Turbine,Echeta,10
Turbine,Echeta,10
Turbine,Echeta,10
Turbine,Echeta,10
Turbine,Echeta,10
Surfer,alibu,10
Surfer,alibu,10
Surfer,alibu,10
Surfer,alibu,10
Surfer,alibu,10
Surfer,alibu,10
Surfer,alibu,10
Surfer,alibu,10
Surfer,alibu,10
Surfer,alibu,10
Surfer,alibu,10
Surfer,alibu,10
Surfer,alibu,10
Surfer,alibu,10
Surfer,alibu,10
Surfer,alibu,10
Pearson Draw,South Prong,10
Turbine,Echeta,10
Turbine,Echeta,10
Turbine,Echeta,10
Turbine,Echeta,10
Turbine,Echeta,10
Turbine,Echeta,10
Turbine,Echeta,10
Turbine,Echeta,10
Tabitha,ontgomery,10
Tabitha,ontgomery,10
Surfer,alibu,10
Surfer,alibu,10
Surfer,alibu,10
Tabitha,ontgomery,10
Tabitha,ontgomery,10
Tabitha,ontgomery,10
Tabitha,ontgomery,10
Tabitha,ontgomery,10
Tabitha,ontgomery,10
Tabitha,ontgomery,10
Tabitha,ontgomery,10
Tabitha,ontgomery,10
Tabitha,ontgomery,10
Tabitha,ontgomery,10
Tabitha,ontgomery,10
Tabitha,ontgomery,10
Surfer,alibu,10
Surfer,alibu,10
Surfer,alibu,10
Surfer,alibu,10
Surfer,alibu,10
Surfer,alibu,10
Turbine,Echeta,10
Turbine,Echeta,10
Dry Willow,Dry Willow,10
Dry Willow,Dry Willow,10
Butcher,Baker Springs,10
Butcher,Baker Springs,10
Butcher,Baker Springs,10
Butcher,Baker Springs,10
Butcher,Baker Springs,10
Butcher,Baker Springs,10
Butcher,Baker Springs,10
Butcher,Baker Springs,10
Butcher,Baker Springs,10
Butcher,Baker Springs,10
Butcher,Baker Springs,10
Butcher,Baker Springs,10
Butcher,Baker Springs,10
Butcher,Baker Springs,10
Butcher,Baker Springs,10
Butcher,Baker Springs,10
Butcher,Baker Springs,10
Butcher,Baker Springs,10
Butcher,Baker Springs,10
Butcher,Baker Springs,10
Surfer,alibu,10
Surfer,alibu,10
Surfer,alibu,10
Pearson Draw,South Prong,10
Tabitha,ontgomery,10
Butcher,Baker Springs,10
Tabitha,ontgomery,10
Gas Draw,Horse Creek,10
Oneok House Creek #24,Oneok House Creek Booster,10
Butcher,Baker Springs,10
Butcher,Baker Springs,10
Butcher,Baker Springs,10
Butcher,Baker Springs,10
Butcher,Baker Springs,10
Butcher,Baker Springs,10
Pearson Draw,South Prong,10
Pearson Draw,South Prong,10
Pearson Draw,South Prong,10
Pearson Draw,South Prong,10
Pearson Draw,South Prong,10
Sycamore,ontgomery,10
Sycamore,ontgomery,10
Sycamore,ontgomery,10
Sycamore,ontgomery,10
Sycamore,ontgomery,10
Sycamore,ontgomery,10
Sycamore,ontgomery,10
Sycamore,ontgomery,10
Sycamore,ontgomery,10
Sycamore,ontgomery,10
Sycamore,ontgomery,10
Sycamore,ontgomery,10
Sycamore,ontgomery,10
Sycamore,ontgomery,10
Sycamore,ontgomery,10
Sycamore,ontgomery,10
Sycamore,ontgomery,10
Sycamore,ontgomery,10
Sycamore,ontgomery,10
Sycamore,ontgomery,10
Pearson Draw,South Prong,10
