apicode,primary_screw,recip,sales_delivery_point
"49-005-55071","Oneok House Creek #24","Oneok House Creek Booster","Thunder Creek"
"49-005-55072","Oneok House Creek #24","Oneok House Creek Booster","Thunder Creek"
"49-005-55073","Oneok House Creek #24","Oneok House Creek Booster","Thunder Creek"
"49-005-55074","Oneok House Creek #24","Oneok House Creek Booster","Thunder Creek"
"49-005-55075","Oneok House Creek #24","Oneok House Creek Booster","Thunder Creek"
"49-005-55190","Chicken","Horse Creek","IGC"
"49-005-55191","Chicken","Horse Creek","IGC"
"49-005-55192","Chicken","Horse Creek","IGC"
"49-005-55193","Chicken","Horse Creek","IGC"
"49-005-55194","Chicken","Horse Creek","IGC"
"49-005-55224","Turbine","Echeta","Fort Union"
"49-005-55225","Turbine","Echeta","Fort Union"
"49-005-55228","Turbine","Echeta","Fort Union"
"49-005-55229","Turbine","Echeta","Fort Union"
"49-005-55232","Turbine","Echeta","Fort Union"
"49-005-55233","Turbine","Echeta","Fort Union"
"49-005-55236","Turbine","Echeta","Fort Union"
"49-005-55237","Turbine","Echeta","Fort Union"
"49-005-55240","Turbine","Echeta","Fort Union"
"49-005-55243","Turbine","Echeta","Fort Union"
"49-005-55244","Turbine","Echeta","Fort Union"
"49-005-55245","Turbine","Echeta","Fort Union"
"49-005-55247","Turbine","Echeta","Fort Union"
"49-005-55251","Turbine","Echeta","Fort Union"
"49-005-55252","Turbine","Echeta","Fort Union"
"49-005-55253","Turbine","Echeta","Fort Union"
"49-005-55254","Turbine","Echeta","Fort Union"
"49-005-55258","Turbine","Echeta","Fort Union"
"49-005-55259","Turbine","Echeta","Fort Union"
"49-005-55260","Turbine","Echeta","Fort Union"
"49-005-55261","Turbine","Echeta","Fort Union"
"49-005-55262","Turbine","Echeta","Fort Union"
"49-005-55265","Turbine","Echeta","Fort Union"
"49-005-55267","Turbine","Echeta","Fort Union"
"49-005-55268","Turbine","Echeta","Fort Union"
"49-005-55270","Turbine","Echeta","Fort Union"
"49-005-55271","Turbine","Echeta","Fort Union"
"49-005-55275","Turbine","Echeta","Fort Union"
"49-005-55276","Turbine","Echeta","Fort Union"
"49-005-55277","Turbine","Echeta","Fort Union"
"49-005-55278","Turbine","Echeta","Fort Union"
"49-005-55279","Turbine","Echeta","Fort Union"
"49-005-55280","Turbine","Echeta","Fort Union"
"49-005-55348","Wildcat","organ Draw","Fort Union"
"49-005-55356","Wildcat","organ Draw","Fort Union"
"49-005-55415","Sagebrush","Jaq/Newport/Pumpkin","Fort Union"
"49-005-55422","Opossum","Baker Springs","Fort Union"
"49-005-55474","Crenshaw Hill","organ Draw","Fort Union"
"49-005-55475","ustang","ontgomery","Fort Union"
"49-005-55476","ustang","ontgomery","Fort Union"
"49-005-55478","ustang","ontgomery","Fort Union"
"49-005-55480","Sycamore","ontgomery","Fort Union"
"49-005-55483","Sycamore","ontgomery","Fort Union"
"49-005-55486","Sycamore","ontgomery","Fort Union"
"49-005-55489","ustang","ontgomery","Fort Union"
"49-005-55490","ustang","ontgomery","Fort Union"
"49-005-55494","ustang","ontgomery","Fort Union"
"49-005-55501","Tabitha","ontgomery","Fort Union"
"49-005-55527","Butcher","Baker Springs","Fort Union"
"49-005-55565","Sycamore","ontgomery","Fort Union"
"49-005-55567","Sycamore","ontgomery","Fort Union"
"49-005-55568","Tabitha","ontgomery","Fort Union"
"49-005-55569","Tabitha","ontgomery","Fort Union"
"49-005-55606","Wildcat","organ Draw","Fort Union"
"49-005-55678","Sycamore","ontgomery","Fort Union"
"49-005-55681","Sycamore","ontgomery","Fort Union"
"49-005-55688","Sycamore","ontgomery","Fort Union"
"49-005-55689","Sycamore","ontgomery","Fort Union"
"49-005-55690","Sycamore","ontgomery","Fort Union"
"49-005-55691","Sycamore","ontgomery","Fort Union"
"49-005-55692","Sycamore","ontgomery","Fort Union"
"49-005-55693","Sycamore","ontgomery","Fort Union"
"49-005-55695","Sycamore","ontgomery","Fort Union"
"49-005-55696","Sycamore","ontgomery","Fort Union"
"49-005-55697","Sycamore","ontgomery","Fort Union"
"49-005-55717","Pearson Draw","South Prong","Fort Union"
"49-005-55719","Surfer","alibu","Fort Union"
"49-005-55724","Butcher","Baker Springs","Fort Union"
"49-005-55792","Sycamore","ontgomery","Fort Union"
"49-005-55793","Tabitha","ontgomery","Fort Union"
"49-005-55794","Sycamore","ontgomery","Fort Union"
"49-005-55922","Tabitha","ontgomery","Fort Union"
"49-005-55925","Tabitha","ontgomery","Fort Union"
"49-005-55927","Tabitha","ontgomery","Fort Union"
"49-005-55929","ustang","ontgomery","Fort Union"
"49-005-55930","Wildcat","organ Draw","Fort Union"
"49-005-55931","ustang","ontgomery","Fort Union"
"49-005-55935","Tabitha","ontgomery","Fort Union"
"49-005-55938","Crenshaw Hill","organ Draw","Fort Union"
"49-005-55939","ustang","ontgomery","Fort Union"
"49-005-55941","Crenshaw Hill","organ Draw","Fort Union"
"49-005-55942","Crenshaw Hill","organ Draw","Fort Union"
"49-005-55943","Crenshaw Hill","organ Draw","Fort Union"
"49-005-55945","Crenshaw Hill","organ Draw","Fort Union"
"49-005-55946","Crenshaw Hill","organ Draw","Fort Union"
"49-005-55947","Crenshaw Hill","organ Draw","Fort Union"
"49-005-55948","Crenshaw Hill","organ Draw","Fort Union"
"49-005-55955","ustang","ontgomery","Fort Union"
"49-005-55959","Crenshaw Hill","organ Draw","Fort Union"
"49-005-56043","Dry Willow","Dry Willow","Thunder Creek"
"49-005-56044","Dry Willow","Dry Willow","Thunder Creek"
"49-005-56046","Dry Willow","Dry Willow","Thunder Creek"
"49-005-56105","Sycamore","ontgomery","Fort Union"
"49-005-56164","Sycamore","ontgomery","Fort Union"
"49-005-56171","Sycamore","ontgomery","Fort Union"
"49-005-56173","Sycamore","ontgomery","Fort Union"
"49-005-56174","Sycamore","ontgomery","Fort Union"
"49-005-56181","Tabitha","ontgomery","Fort Union"
"49-005-56192","Tabitha","ontgomery","Fort Union"
"49-005-56193","Tabitha","ontgomery","Fort Union"
"49-005-56194","Tabitha","ontgomery","Fort Union"
"49-005-56195","Tabitha","ontgomery","Fort Union"
"49-005-56196","Tabitha","ontgomery","Fort Union"
"49-005-56197","Tabitha","ontgomery","Fort Union"
"49-005-56198","Tabitha","ontgomery","Fort Union"
"49-005-56199","Tabitha","ontgomery","Fort Union"
"49-005-56200","Tabitha","ontgomery","Fort Union"
"49-005-56201","Tabitha","ontgomery","Fort Union"
"49-005-56202","Sycamore","ontgomery","Fort Union"
"49-005-56274","Butcher","Baker Springs","Fort Union"
"49-005-56275","Butcher","Baker Springs","Fort Union"
"49-005-56277","Butcher","Baker Springs","Fort Union"
"49-005-56278","Butcher","Baker Springs","Fort Union"
"49-005-56279","Butcher","Baker Springs","Fort Union"
"49-005-56280","Butcher","Baker Springs","Fort Union"
"49-005-56281","Butcher","Baker Springs","Fort Union"
"49-005-56282","Butcher","Baker Springs","Fort Union"
"49-005-56284","Butcher","Baker Springs","Fort Union"
"49-005-56285","Butcher","Baker Springs","Fort Union"
"49-005-56286","Butcher","Baker Springs","Fort Union"
"49-005-56287","Butcher","Baker Springs","Fort Union"
"49-005-56318","Gas Draw","Horse Creek","IGC"
"49-005-56324","Sycamore","ontgomery","Fort Union"
"49-005-56325","Sycamore","ontgomery","Fort Union"
"49-005-56326","Sycamore","ontgomery","Fort Union"
"49-005-56362","Pebble Beach","Augusta","Fort Union"
"49-005-56363","Pebble Beach","Augusta","Fort Union"
"49-005-56364","Pebble Beach","Augusta","Fort Union"
"49-005-56365","Pebble Beach","Augusta","Fort Union"
"49-005-56368","Butcher","Baker Springs","Fort Union"
"49-005-56460","West Pine Tree","West Pine Tree 2024","Thunder Creek"
"49-005-56461","West Pine Tree","West Pine Tree 2024","Thunder Creek"
"49-005-56463","West Pine Tree","West Pine Tree 2024","Thunder Creek"
"49-005-56638","Dry Willow","Dry Willow","Thunder Creek"
"49-005-56814","Gas Draw","Horse Creek","IGC"
"49-005-56944","West Pine Tree","West Pine Tree 2024","Thunder Creek"
"49-005-56945","West Pine Tree","West Pine Tree 2024","Thunder Creek"
"49-005-56946","West Pine Tree","West Pine Tree 2024","Thunder Creek"
"49-005-56947","West Pine Tree","West Pine Tree 2024","Thunder Creek"
"49-005-56948","West Pine Tree","West Pine Tree 2024","Thunder Creek"
"49-005-56949","West Pine Tree","West Pine Tree 2024","Thunder Creek"
"49-005-56950","West Pine Tree","West Pine Tree 2024","Thunder Creek"
"49-005-56951","West Pine Tree","West Pine Tree 2024","Thunder Creek"
"49-005-56953","West Pine Tree","West Pine Tree 2024","Thunder Creek"
"49-005-56955","West Pine Tree","West Pine Tree 2024","Thunder Creek"
"49-005-56956","West Pine Tree","West Pine Tree 2024","Thunder Creek"
"49-005-56957","West Pine Tree","West Pine Tree 2024","Thunder Creek"
"49-005-56958","West Pine Tree","West Pine Tree 2024","Thunder Creek"
"49-005-56959","West Pine Tree","West Pine Tree 2024","Thunder Creek"
"49-005-56960","West Pine Tree","West Pine Tree 2024","Thunder Creek"
"49-005-56972","Winter Park","Vail","Fort Union"
"49-005-56981","Winter Park","Vail","Fort Union"
"49-005-56982","Winter Park","Vail","Fort Union"
"49-005-56983","Winter Park","Vail","Fort Union"
"49-005-56989","Winter Park","Vail","Fort Union"
"49-005-56995","Winter Park","Vail","Fort Union"
"49-005-56997","Winter Park","Vail","Fort Union"
"49-005-56999","Winter Park","Vail","Fort Union"
"49-005-57013","Winter Park","Vail","Fort Union"
"49-005-57047","Winter Park","Vail","Fort Union"
"49-005-57049","Winter Park","Vail","Fort Union"
"49-005-57051","Winter Park","Vail","Fort Union"
"49-005-57162","Sycamore","ontgomery","Fort Union"
"49-005-57283","The Chair","Table ountain","Thunder Creek"
"49-005-57324","Wildcat","organ Draw","Fort Union"
"49-005-57325","Wildcat","organ Draw","Fort Union"
"49-005-57326","Wildcat","organ Draw","Fort Union"
"49-005-57327","Wildcat","organ Draw","Fort Union"
"49-005-57328","Wildcat","organ Draw","Fort Union"
"49-005-57331","Wildcat","organ Draw","Fort Union"
"49-005-57397","Dry Willow","Dry Willow","Thunder Creek"
"49-005-57411","Wormwood","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57412","Sagebrush","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57413","Wormwood","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57414","Wormwood","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57415","Wormwood","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57416","Sagebrush","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57417","Sagebrush","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57418","Sagebrush","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57419","Wormwood","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57420","Wormwood","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57421","Sagebrush","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57422","Sagebrush","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57423","Sagebrush","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57424","Sagebrush","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57425","Sagebrush","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57426","Wormwood","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57427","Wormwood","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57428","Wormwood","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57429","Sagebrush","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57430","Sagebrush","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57431","Sagebrush","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57432","Wormwood","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57433","Wormwood","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57434","Wormwood","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57435","Sagebrush","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57436","Sagebrush","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57437","Sagebrush","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57438","Sagebrush","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57439","Sagebrush","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57440","Sagebrush","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57441","Sagebrush","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57442","Wormwood","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57443","Wormwood","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57444","Sagebrush","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57445","Sagebrush","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57446","Sagebrush","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57447","Sagebrush","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57448","Wormwood","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57449","Wormwood","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57450","Sagebrush","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57451","Sagebrush","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57452","Wormwood","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57468","Dry Willow","Dry Willow","Thunder Creek"
"49-005-57469","Dry Willow","Dry Willow","Thunder Creek"
"49-005-57470","Dry Willow","Dry Willow","Thunder Creek"
"49-005-57471","Dry Willow","Dry Willow","Thunder Creek"
"49-005-57472","Dry Willow","Dry Willow","Thunder Creek"
"49-005-57473","Dry Willow","Dry Willow","Thunder Creek"
"49-005-57474","Dry Willow","Dry Willow","Thunder Creek"
"49-005-57475","Dry Willow","Dry Willow","Thunder Creek"
"49-005-57476","Dry Willow","Dry Willow","Thunder Creek"
"49-005-57477","Dry Willow","Dry Willow","Thunder Creek"
"49-005-57480","Dry Willow","Dry Willow","Thunder Creek"
"49-005-57481","Dry Willow","Dry Willow","Thunder Creek"
"49-005-57482","Dry Willow","Dry Willow","Thunder Creek"
"49-005-57483","Dry Willow","Dry Willow","Thunder Creek"
"49-005-57485","Dry Willow","Dry Willow","Thunder Creek"
"49-005-57486","Dry Willow","Dry Willow","Thunder Creek"
"49-005-57487","Dry Willow","Dry Willow","Thunder Creek"
"49-005-57488","Dry Willow","Dry Willow","Thunder Creek"
"49-005-57489","Dry Willow","Dry Willow","Thunder Creek"
"49-005-57490","Dry Willow","Dry Willow","Thunder Creek"
"49-005-57491","Dry Willow","Dry Willow","Thunder Creek"
"49-005-57492","Dry Willow","Dry Willow","Thunder Creek"
"49-005-57493","Dry Willow","Dry Willow","Thunder Creek"
"49-005-57494","Dry Willow","Dry Willow","Thunder Creek"
"49-005-57579","Gas Draw","Horse Creek","IGC"
"49-005-57582","Pebble Beach","Augusta","Fort Union"
"49-005-57585","Pebble Beach","Augusta","Fort Union"
"49-005-57586","Pebble Beach","Augusta","Fort Union"
"49-005-57590","Pebble Beach","Augusta","Fort Union"
"49-005-57592","Pebble Beach","Augusta","Fort Union"
"49-005-57596","Pebble Beach","Augusta","Fort Union"
"49-005-57597","Wormwood","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57598","Wormwood","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57605","Pebble Beach","Augusta","Fort Union"
"49-005-57607","Pebble Beach","Augusta","Fort Union"
"49-005-57626","Pebble Beach","Augusta","Fort Union"
"49-005-57628","Pebble Beach","Augusta","Fort Union"
"49-005-57870","ustang","ontgomery","Fort Union"
"49-005-57872","ustang","ontgomery","Fort Union"
"49-005-57874","ustang","ontgomery","Fort Union"
"49-005-57876","Tabitha","ontgomery","Fort Union"
"49-005-57877","Tabitha","ontgomery","Fort Union"
"49-005-57879","Tabitha","ontgomery","Fort Union"
"49-005-57881","ustang","ontgomery","Fort Union"
"49-005-57887","ustang","ontgomery","Fort Union"
"49-005-57888","ustang","ontgomery","Fort Union"
"49-005-57890","ustang","ontgomery","Fort Union"
"49-005-57891","ustang","ontgomery","Fort Union"
"49-005-57892","ustang","ontgomery","Fort Union"
"49-005-57895","ustang","ontgomery","Fort Union"
"49-005-57897","ustang","ontgomery","Fort Union"
"49-005-57901","Tabitha","ontgomery","Fort Union"
"49-005-57902","Tabitha","ontgomery","Fort Union"
"49-005-57904","Tabitha","ontgomery","Fort Union"
"49-005-57906","Tabitha","ontgomery","Fort Union"
"49-005-57907","Tabitha","ontgomery","Fort Union"
"49-005-57909","Tabitha","ontgomery","Fort Union"
"49-005-57910","Tabitha","ontgomery","Fort Union"
"49-005-57911","Tabitha","ontgomery","Fort Union"
"49-005-57912","ustang","ontgomery","Fort Union"
"49-005-57913","Tabitha","ontgomery","Fort Union"
"49-005-57914","ustang","ontgomery","Fort Union"
"49-005-57915","Tabitha","ontgomery","Fort Union"
"49-005-57916","ustang","ontgomery","Fort Union"
"49-005-57917","Tabitha","ontgomery","Fort Union"
"49-005-57918","Tabitha","ontgomery","Fort Union"
"49-005-57919","ustang","ontgomery","Fort Union"
"49-005-57921","ustang","ontgomery","Fort Union"
"49-005-57922","ustang","ontgomery","Fort Union"
"49-005-57935","Sagebrush","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57936","Sagebrush","Jaq/Newport/Pumpkin","Fort Union"
"49-005-57937","Wormwood","Jaq/Newport/Pumpkin","Fort Union"
"49-005-58011","Winter Park","Vail","Fort Union"
"49-005-58019","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58020","Wormwood","Jaq/Newport/Pumpkin","Fort Union"
"49-005-58021","Wormwood","Jaq/Newport/Pumpkin","Fort Union"
"49-005-58022","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58023","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58024","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58025","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58026","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58027","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58028","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58030","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58031","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58032","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58033","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58034","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58035","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58036","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58037","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58038","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58039","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58041","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58042","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58043","Dallas","Fletcher/Tex","Fort Union"
"49-005-58044","Dallas","Fletcher/Tex","Thunder Creek"
"49-005-58045","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58046","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58047","Dallas","Fletcher/Tex","Thunder Creek"
"49-005-58048","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58049","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58050","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58051","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58052","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58053","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58054","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58056","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58057","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58060","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58061","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58062","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58063","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58064","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58065","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58066","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58067","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58068","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58069","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58070","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58071","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58072","Dallas","Fletcher/Tex","Thunder Creek"
"49-005-58073","Dallas","Fletcher/Tex","Thunder Creek"
"49-005-58074","Dallas","Fletcher/Tex","Thunder Creek"
"49-005-58075","Dallas","Fletcher/Tex","Thunder Creek"
"49-005-58076","Dallas","Fletcher/Tex","Thunder Creek"
"49-005-58077","Dallas","Fletcher/Tex","Thunder Creek"
"49-005-58078","Dallas","Fletcher/Tex","Thunder Creek"
"49-005-58079","Dallas","Fletcher/Tex","Thunder Creek"
"49-005-58080","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58081","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58082","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58083","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58084","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58085","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58086","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58087","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58088","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58089","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58090","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58091","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58092","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58093","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58094","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58095","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58096","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58098","Dry Willow","Dry Willow","Thunder Creek"
"49-005-58099","Dallas","Fletcher/Tex","Thunder Creek"
"49-005-58100","Dallas","Fletcher/Tex","Thunder Creek"
"49-005-58101","Dallas","Fletcher/Tex","Thunder Creek"
"49-005-58102","Dallas","Fletcher/Tex","Thunder Creek"
"49-005-58103","Dallas","Fletcher/Tex","Thunder Creek"
"49-005-58104","Dallas","Fletcher/Tex","Thunder Creek"
"49-005-58105","Dallas","Fletcher/Tex","Thunder Creek"
"49-005-58152","Pearson Draw","South Prong","Fort Union"
"49-005-58154","Pearson Draw","South Prong","Fort Union"
"49-005-58157","Pearson Draw","South Prong","Fort Union"
"49-005-58159","Pearson Draw","South Prong","Fort Union"
"49-005-58161","Pearson Draw","South Prong","Fort Union"
"49-005-58163","Surfer","alibu","Fort Union"
"49-005-58164","Surfer","alibu","Fort Union"
"49-005-58165","Surfer","alibu","Fort Union"
"49-005-58166","Surfer","alibu","Fort Union"
"49-005-58168","Pearson Draw","South Prong","Fort Union"
"49-005-58171","Pearson Draw","South Prong","Fort Union"
"49-005-58175","Surfer","alibu","Fort Union"
"49-005-58176","Surfer","alibu","Fort Union"
"49-005-58177","Surfer","alibu","Fort Union"
"49-005-58178","Surfer","alibu","Fort Union"
"49-005-58179","Pearson Draw","South Prong","Fort Union"
"49-005-58181","Pearson Draw","South Prong","Fort Union"
"49-005-58183","Pearson Draw","South Prong","Fort Union"
"49-005-58185","Pearson Draw","South Prong","Fort Union"
"49-005-58186","Pearson Draw","South Prong","Fort Union"
"49-005-58188","Pearson Draw","South Prong","Fort Union"
"49-005-58191","Pearson Draw","South Prong","Fort Union"
"49-005-58193","Pearson Draw","South Prong","Fort Union"
"49-005-58195","Pearson Draw","South Prong","Fort Union"
"49-005-58197","Pearson Draw","South Prong","Fort Union"
"49-005-58199","Surfer","alibu","Fort Union"
"49-005-58201","Pearson Draw","South Prong","Fort Union"
"49-005-58203","Pearson Draw","South Prong","Fort Union"
"49-005-58205","Surfer","alibu","Fort Union"
"49-005-58207","Surfer","alibu","Fort Union"
"49-005-58209","Surfer","alibu","Fort Union"
"49-005-58213","Surfer","alibu","Fort Union"
"49-005-58215","Surfer","alibu","Fort Union"
"49-005-58217","Surfer","alibu","Fort Union"
"49-005-58219","Surfer","alibu","Fort Union"
"49-005-58221","Surfer","alibu","Fort Union"
"49-005-58223","Pearson Draw","South Prong","Fort Union"
"49-005-58224","Surfer","alibu","Fort Union"
"49-005-58225","Surfer","alibu","Fort Union"
"49-005-58226","Surfer","alibu","Fort Union"
"49-005-58227","Surfer","alibu","Fort Union"
"49-005-58228","Surfer","alibu","Fort Union"
"49-005-58237","Surfer","alibu","Fort Union"
"49-005-58293","Sycamore","ontgomery","Fort Union"
"49-005-58294","Sycamore","ontgomery","Fort Union"
"49-005-58295","Sycamore","ontgomery","Fort Union"
"49-005-58296","Sycamore","ontgomery","Fort Union"
"49-005-58297","Sycamore","ontgomery","Fort Union"
"49-005-58298","Sycamore","ontgomery","Fort Union"
"49-005-58300","Sycamore","ontgomery","Fort Union"
"49-005-58301","Sycamore","ontgomery","Fort Union"
"49-005-58302","Sycamore","ontgomery","Fort Union"
"49-005-58303","Sycamore","ontgomery","Fort Union"
"49-005-58304","Sycamore","ontgomery","Fort Union"
"49-005-58305","Sycamore","ontgomery","Fort Union"
"49-005-58306","Sycamore","ontgomery","Fort Union"
"49-005-58307","Sycamore","ontgomery","Fort Union"
"49-005-58308","Sycamore","ontgomery","Fort Union"
"49-005-58309","Sycamore","ontgomery","Fort Union"
"49-005-58310","Sycamore","ontgomery","Fort Union"
"49-005-58311","Sycamore","ontgomery","Fort Union"
"49-005-58312","Sycamore","ontgomery","Fort Union"
"49-005-58313","Sycamore","ontgomery","Fort Union"
"49-005-58314","Sycamore","ontgomery","Fort Union"
"49-005-58315","Sycamore","ontgomery","Fort Union"
"49-005-58316","Sycamore","ontgomery","Fort Union"
"49-005-58317","Sycamore","ontgomery","Fort Union"
"49-005-58318","Sycamore","ontgomery","Fort Union"
"49-005-58319","Sycamore","ontgomery","Fort Union"
"49-005-58320","Sycamore","ontgomery","Fort Union"
"49-005-58321","Sycamore","ontgomery","Fort Union"
"49-005-58322","Sycamore","ontgomery","Fort Union"
"49-005-58323","Sycamore","ontgomery","Fort Union"
"49-005-58324","Sycamore","ontgomery","Fort Union"
"49-005-58325","Sycamore","ontgomery","Fort Union"
"49-005-58326","Sycamore","ontgomery","Fort Union"
"49-005-58327","Sycamore","ontgomery","Fort Union"
"49-005-58328","Sycamore","ontgomery","Fort Union"
"49-005-58329","Tabitha","ontgomery","Fort Union"
"49-005-58330","Sycamore","ontgomery","Fort Union"
"49-005-58356","The Chair","Table ountain","Thunder Creek"
"49-005-58391","Surfer","alibu","Fort Union"
"49-005-58392","Surfer","alibu","Fort Union"
"49-005-58424","Sagebrush","Jaq/Newport/Pumpkin","Fort Union"
"49-005-58433","Dallas","Fletcher/Tex","Fort Union"
"49-005-58450","Pearson Draw","South Prong","Fort Union"
"49-005-58452","Pearson Draw","South Prong","Fort Union"
"49-005-58454","Pearson Draw","South Prong","Fort Union"
"49-005-58456","Pearson Draw","South Prong","Fort Union"
"49-005-58459","Pearson Draw","South Prong","Fort Union"
"49-005-58461","Pearson Draw","South Prong","Fort Union"
"49-005-58462","Pearson Draw","South Prong","Fort Union"
"49-005-58463","Surfer","alibu","Fort Union"
"49-005-58464","Pearson Draw","South Prong","Fort Union"
"49-005-58465","Surfer","alibu","Fort Union"
"49-005-58466","Surfer","alibu","Fort Union"
"49-005-58467","Pearson Draw","South Prong","Fort Union"
"49-005-58468","Pearson Draw","South Prong","Fort Union"
"49-005-58469","Pearson Draw","South Prong","Fort Union"
"49-005-58470","Pearson Draw","South Prong","Fort Union"
"49-005-58471","Pearson Draw","South Prong","Fort Union"
