id,value
49.Sycamore.ontgomery.FortUnion,34
49.Sycamore.ontgomery.FortUnion,34
49.Sycamore.ontgomery.FortUnion,34
49.Sycamore.ontgomery.FortUnion,34
49.Sycamore.ontgomery.FortUnion,34
49.Sycamore.ontgomery.FortUnion,34
49.Sycamore.ontgomery.FortUnion,34
49.Sycamore.ontgomery.FortUnion,34
49.Sycamore.ontgomery.FortUnion,34
49.Sycamore.ontgomery.FortUnion,34
49.Sycamore.ontgomery.FortUnion,34
49.Sycamore.ontgomery.FortUnion,34
49.Sycamore.ontgomery.FortUnion,34
49.PearsonDraw.SouthProng.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.PearsonDraw.SouthProng.FortUnion,34
49.GasDraw.HorseCreek.IGC,34
49.GasDraw.HorseCreek.IGC,34
49.GasDraw.HorseCreek.IGC,34
49.GasDraw.HorseCreek.IGC,34
49.GasDraw.HorseCreek.IGC,34
49.GasDraw.HorseCreek.IGC,34
49.GasDraw.HorseCreek.IGC,34
49.GasDraw.HorseCreek.IGC,34
49.GasDraw.HorseCreek.IGC,34
49.GasDraw.HorseCreek.IGC,34
49.GasDraw.HorseCreek.IGC,34
49.GasDraw.HorseCreek.IGC,34
49.GasDraw.HorseCreek.IGC,34
49.Butcher.BakerSprings.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.OneokHouseCreek#24.OneokHouseCreekBooster.ThunderCreek,34
49.Butcher.BakerSprings.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.WinterPark.Vail.FortUnion,34
49.WinterPark.Vail.FortUnion,34
49.WinterPark.Vail.FortUnion,34
49.WinterPark.Vail.FortUnion,34
49.WinterPark.Vail.FortUnion,34
49.WinterPark.Vail.FortUnion,34
49.DryWillow.DryWillow.ThunderCreek,34
49.DryWillow.DryWillow.ThunderCreek,34
49.DryWillow.DryWillow.ThunderCreek,34
49.DryWillow.DryWillow.ThunderCreek,34
49.Tessmocker.Clarkelen.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.Tabitha.ontgomery.FortUnion,34
49.Tabitha.ontgomery.FortUnion,34
49.Tabitha.ontgomery.FortUnion,34
49.Tabitha.ontgomery.FortUnion,34
49.Tabitha.ontgomery.FortUnion,34
49.Tabitha.ontgomery.FortUnion,34
49.Tabitha.ontgomery.FortUnion,34
